wnver::eOS9lXC6GvMWznF1wkZofDdtbBU
1740n 619463.364700726 ROOT
1930n 317182.513700512
2137n 302150.893307907
2452n 10707.6532971859
2684n 189793.245018072
3553n 146432.785032089
3993n 1
4258n 87843.2942057126
4475n 87534.6346819031
5787n 1
5930n 2.66666666666667
6024n 1
6150n 59
6269n 73.8571428571426
6400n 1
6484n 232.802380952381
7347n 75151.4935816635
7846n 71075.5085528034
15388n 8180.98174407289
17222n 6663.29362745098
19046n 19
19128n 4073.83217501453
19613n 21171.1494347014
20090n 8454.74293565911
20827n 33591.1925881982
21265n 4569.49199770817
21734n 97.8749999999998
21939n 54157.2996770032
22903n 343.194444444444
23100n 104240.003174745
23271n 37271.0268417644
23773n 946.328733766234
24264n 52579.5676238723
24720n 22438.7306842667
26192n 3564.62132867133
27167n 38661.1012119204
27807n 4843.67321713524
28270n 3267.47608225108
28651n 102.694444444444
29007n 1
29114n 7.25
29378n 66021.6475992145
29677n 7928.92921539245
30358n 49801.8211576006
31264n 33194.1208631167
31921n 35848.4327776301
32613n 6581.20258841755
32823n 53.747619047619
33020n 33959.7940633713
33615n 41974.6724296057
34213n 3668.65697097021
34479n 56.2243589743596
34574n 71.25
34777n 1
34939n 1
35189n 1197.79423436041
35697n 5.5
35891n 6.5
36061n 14.2857142857143
36299n 2
36580n 1
36762n 300.84632034632
37006n 7
37090n 1
37200n 8.36666666666666
37396n 11744.910133494
38175n 1
38262n 145.068376068375
38573n 1.5
38863n 1.5
39021n 89.4198412698412
39211n 7
39297n 23.8888888888889
39545n 6.33333333333333
39740n 1
39916n 7
39990n 6
40152n 47.5309523809524
40420n 1
40545n 1
40804n 42.5309523809524
40962n 24.3809523809524
41188n 51
41468n 18.8627450980392
41614n 1
41740n 1
41899n 491.63663003663
42311n 285.698809523809
42541n 8.57142857142857
42757n 406.361904761906
43116n 1
43195n 408.760606060606
43609n 68.9166666666666
43902n 166.269047619048
44150n 443.06322843823
44455n 25.1071428571429
