ukip,0,0
snp,0,0
conservative,0.1779,0
ukip,0,0
ukip,0.4588,0
ukip,0.3802,0
labour,0,-0.4389
conservative,0,-0.4389
conservative,0.0258,0
labour,0,0
snp,0,0
labour,0.296,0
conservative,0.296,0
labour,0,0
labour,0,-0.4019
snp,0,-0.4019
labour,0.2732,0
snp,0.2732,0
conservative,0.2732,0
conservative,0.8126,0
labour,0.6956,0
snp,0.6956,0
snp,0.6996,0
labour,0.4019,0
conservative,0.0258,0
snp,0.2003,0
conservative,0.2003,0
labour,0,0
conservative,0,0
labour,0,0
conservative,0,-0.2263
libdem,0,-0.2263
snp,0.3182,0
labour,0.5267,0
labour,0.0772,0
snp,0.0772,0
labour,0,-0.8225
snp,0,-0.8225
conservative,0,-0.8225
snp,0.4019,0
ukip,0,-0.2023
labour,0,-0.4588
snp,0.8225,0
conservative,0.8225,0
snp,0.5093,0
conservative,0,-0.4019
conservative,0.8142,0
ukip,0.8142,0
labour,0,0
ukip,0,0
snp,0,-0.0516
labour,0,0
snp,0,0
labour,0.2769,0
snp,0.2769,0
labour,0,-0.0534
snp,0,-0.0534
conservative,0,0
labour,0,-0.6908
snp,0,-0.6908
conservative,0,-0.6908
ukip,0,-0.6908
labour,0,-0.0534
snp,0,-0.0534
snp,0,-0.3612
labour,0.0258,0
snp,0.0258,0
conservative,0,-0.7184
libdem,0,0
ukip,0,-0.3384
snp,0.4019,0
labour,0,-0.296
conservative,0,0
labour,0,0
snp,0,0
snp,0,0
labour,0.4019,0
labour,0.5473,0
snp,0.5473,0
conservative,0.5473,0
libdem,0.5473,0
labour,0,0
snp,0,0
conservative,0,0
labour,0,-0.5994
snp,0,-0.5994
ukip,0.1531,0
libdem,0,0
labour,0,-0.4019
conservative,0,-0.4019
labour,0,0
snp,0,0
labour,0,-0.4595
snp,0,-0.4595
labour,0,-0.2057
snp,0,-0.2057
conservative,0,-0.2057
labour,0,-0.3089
ukip,0.4588,0
snp,0,0
labour,0,0
ukip,0,0
labour,0,-0.3089
labour,0.4019,0
snp,0.4019,0
conservative,0.6369,0
conservative,0,-0.296
conservative,0.4939,0
labour,0,0
conservative,0,0
labour,0.4215,0
snp,0.4215,0
conservative,0.4215,0
conservative,0,-0.0731
labour,0.4019,0
labour,0.5473,0
labour,0,0
