wnver::eOS9lXC6GvMWznF1wkZofDdtbBU
1740n 213495.651606074 ROOT
1930n 116659.966158515
2137n 96794.9418578154
2452n 4940.02213480964
2684n 67390.9031293868
3553n 56907.0533797085
3993n 1
4258n 33326.5931454982
4475n 33107.2074312125
5787n 1
5930n 1.33333333333333
6024n 1
6150n 10.5
6269n 11.5714285714286
6400n 1
6484n 204.814285714286
7347n 24182.7169677544
7846n 22219.5163905538
15388n 5108.92669128258
17222n 4933.56857015534
19046n 3.33333333333333
19128n 3316.75214630139
19613n 11083.0820506291
20090n 3908.28098421187
20827n 16887.8651563306
21265n 1994.77773745862
21734n 31.1666666666667
21939n 20197.4901391909
22903n 136.2
23100n 32210.6928470223
23271n 10933.7774231487
23773n 124.0045995671
24264n 17152.4526333144
24720n 8190.94319169393
26192n 1182.97021312021
27167n 8784.02439480454
27807n 1051.86291143497
28270n 765.559523809524
28651n 53.3888888888889
29007n 1
29114n 3.5
29378n 21151.9108243064
29677n 3253.74448451875
30358n 15974.7274893407
31264n 13647.2014561419
31921n 14784.1962987176
32613n 1574.27502203679
32823n 26.7761904761905
33020n 9906.81416051269
33615n 8712.5270086123
34213n 1453.67324187251
34479n 13.2435897435898
34574n 19.9666666666667
34777n 1
34939n 1
35189n 384.166752610135
35697n 5
35891n 1
36061n 2.57142857142857
36299n 1.5
36580n 1
36762n 114.105844155844
37006n 2
37090n 1
37200n 2.66666666666667
37396n 3888.26378368364
38175n 1
38262n 33.6538461538461
38573n 1
38863n 1
39021n 29.2539682539683
39211n 3
39297n 10.4444444444444
39545n 3.44444444444445
39740n 1
39916n 2
39990n 3
40152n 11.3095238095238
40420n 1
40545n 1
40804n 7.05952380952381
40962n 3.80952380952381
41188n 13.1666666666667
41468n 9.23529411764704
41614n 1
41740n 1
41899n 93.0528693528693
42311n 82.1714285714285
42541n 6.42857142857143
42757n 86.668253968254
43116n 1
43195n 326.936363636364
43609n 19.5833333333333
43902n 59.2952380952381
44150n 103.045512820513
44455n 13.731746031746
44673n 5
44900n 2
45114n 1
45250n 287.396619230443
45646n 2
45907n 34.9007936507937
46177n 38.4930555555556
46344n 30.0606060606061
46522n 129.267116217116
47018n 1
47106n 14
47356n 1
47550n 1
47745n 9.75
47941n 1
48051n 1.33333333333333
48225n 6.25
48374n 59.4025641025641
48656n 1.66666666666667
48828n 2.25
49003n 19.2166666666667
49344n 1
49530n 1.2
49636n 1.33333333333333
49789n 1
49909n 2
50037n 2.6
50195n 12.9679487179487
50484n 1.25
50693n 1.5
50887n 6.88461538461539
51077n 2
51192n 5.38461538461539
51385n 1
51525n 3.33333333333333
51712n 1
51897n 1
52052n 1
52146n 1
52334n 4.75
52500n 11.75
52791n 2
53020n 1
53097n 45.6666666666667
53405n 1
53525n 1
53609n 3
53806n 1
53913n 20.5015873015873
54328n 2
54483n 1.28571428571429
54652n 1.28571428571429
54821n 3.33333333333333
55038n 1
55227n 1
55315n 5.5
55633n 1
55793n 1
55932n 1
56087n 1
56311n 2
